t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,15,1,0,5,140,0,40,0,0,0,40
1,15,1,0,5,210.42,245.71,40,0,0,2,40
2,15,1,300,5,271,0,37,0,0,2,37
3,15,1,500,5,271,0,35,0,0,2,35
4,15,1,700,5,66.81,-248,33,0,0,2,33
5,15,1,1200,5,9,0,28,0,0,2,28
6,15,1,1600,5,9,0,24,0,0,1,24
7,15,1,1700,5,40.88,228.4,23,0,0,2,23
8,15,1,2100,5,271,0,19,0,0,1,19
9,15,1,2600,5,271,0,14,0,0,2,14
10,15,1,2700,5,271,0,13,0,0,2,13
11,15,1,2800,5,141.21,-247.91,10,0,0,1,10
12,15,1,2900,5,9,0,0,0,0,2,0
13,15,1,2900,5,9,0,0,0,0,2,0
14,15,1,2900,5,9,0,0,0,0,0,0
15,15,1,2900,5,9,0,0,0,0,0,0
16,15,1,2900,5,9,0,0,0,0,0,0
17,16,0,2950,5,271,0,39,0,0,1,0
18,16,0,2950,5,271,0,39,0,0,2,0
19,16,0,2950,5,271,0,39,0,1,2,0
20,16,0,2950,5,271,0,39,8,3,2,0
21,16,0,3270,5,271,0,37,4,1,1,0
22,16,0,3270,4,271,0,36,1,0,0,0
23,16,0,3270,4,271,0,36,0,0,0,0
24,16,0,3270,4,271,0,36,0,0,0,0
