t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,3,1,0,3,140,0,40,0,0,0,40
1,3,1,0,3,44.89,-247.4,40,0,0,2,40
2,3,1,200,3,9,0,38,0,0,2,38
3,3,1,200,3,9,0,38,0,0,2,38
4,3,1,300,3,153.67,247.96,37,0,0,2,37
5,3,1,800,3,271,0,32,0,0,2,32
6,3,1,1000,3,271,0,30,0,0,2,30
7,3,1,1300,3,51.93,-248,27,0,0,2,27
8,3,1,1600,3,9,0,24,0,0,2,24
9,3,1,1700,3,43.2,230.96,23,0,0,2,23
10,3,1,2200,3,271,0,18,0,0,2,18
11,3,1,2300,3,271,0,17,0,0,2,17
12,3,1,2600,2,151.12,-247.84,10,0,0,0,10
13,3,1,2600,2,151.12,-247.84,0,0,0,0,0
14,3,1,2600,2,151.12,-247.84,0,0,0,0,0
15,3,1,2600,2,151.12,-247.84,0,0,0,0,0
16,3,1,2600,2,151.12,-247.84,0,0,0,0,0
17,3,1,2600,2,151.12,-247.84,0,0,0,0,0
18,4,0,2760,2,239.93,0,38,0,0,2,0
19,4,0,3000,2,239.93,0,35,0,0,1,0
20,4,0,3000,2,239.93,0,35,0,0,2,0
21,4,0,3000,2,239.93,0,35,1,0,0,0
22,4,0,3000,2,239.93,0,35,1,0,0,0
23,4,0,3000,2,239.93,0,35,1,1,0,0
24,4,0,3000,2,239.93,0,35,1,0,0,0
