t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,7,1,0,4,140,0,40,0,0,0,40
1,7,1,0,4,235.11,247.4,40,0,0,2,40
2,7,1,400,4,271,0,36,0,0,2,36
3,7,1,400,4,141.21,-247.91,36,0,0,2,36
4,7,1,900,4,9,0,31,0,0,1,31
5,7,1,1300,4,9,0,27,0,0,2,27
6,7,1,2500,4,213.19,248,25,0,0,2,25
7,7,1,3100,4,271,0,19,0,0,1,19
8,7,1,3200,4,271,0,18,0,0,2,18
9,7,1,3300,4,91.61,-247.99,17,0,0,2,17
10,7,1,3500,4,9,0,15,0,0,2,15
11,7,1,3800,4,9,0,12,0,0,2,12
12,7,1,3900,4,9,0,7,0,0,2,7
13,7,1,3900,4,59.07,241.02,0,0,0,2,0
14,7,1,3900,4,59.07,241.02,0,0,0,0,0
15,7,1,3900,4,59.07,241.02,0,0,0,0,0
16,7,1,3900,4,59.07,241.02,0,0,0,0,0
17,8,0,3900,4,68.06,0,40,0,0,2,0
18,8,0,4000,4,68.06,0,38,0,0,2,0
19,8,0,4050,4,68.06,0,37,1,1,2,0
20,8,0,4050,4,68.06,0,37,1,2,2,0
21,8,0,4050,4,68.06,0,37,1,1,0,0
22,8,0,4050,4,68.06,0,37,1,1,0,0
23,8,0,4050,4,68.06,0,37,2,2,0,0
24,8,0,4050,4,68.06,0,37,2,1,0,0
