t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,11,1,0,5,140,0,40,0,0,0,40
1,11,1,0,5,57.26,-246.83,40,0,0,2,40
2,11,1,200,5,9,0,38,0,0,2,38
3,11,1,200,5,40.88,228.4,38,0,0,2,38
4,11,1,600,5,271,0,34,0,0,2,34
5,11,1,1100,5,271,0,29,0,0,1,29
6,11,1,1400,5,271,0,26,0,0,2,26
7,11,1,1800,5,42.01,-248,22,0,0,2,22
8,11,1,2400,5,9,0,16,0,0,2,16
9,11,1,2500,5,9,0,15,0,0,2,15
10,11,1,4900,5,138.79,247.91,11,0,0,0,11
11,11,1,7500,5,271,0,4,0,0,2,4
12,11,1,7500,5,271,0,0,0,0,2,0
13,11,1,7500,5,271,0,0,0,0,2,0
14,11,1,7500,5,271,0,0,0,0,0,0
15,11,1,7500,5,271,0,0,0,0,0,0
16,11,1,7500,5,271,0,0,0,0,0,0
17,12,0,7500,5,9,0,40,0,0,2,0
18,12,0,7550,5,9,0,39,0,0,2,0
19,12,0,7550,5,9,0,39,0,1,2,0
20,12,0,7550,5,9,0,39,1,1,2,0
21,12,0,7550,5,9,0,39,1,1,1,0
22,12,0,7550,5,9,0,39,1,2,0,0
23,12,0,7550,5,9,0,39,2,2,0,0
24,12,0,7550,5,9,0,39,2,1,0,0
