t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,12,0,0,5,140,0,40,0,0,0,0
1,12,0,50,5,81.84,-243.53,39,0,0,1,0
2,12,0,180,5,9,0,37,0,1,2,0
3,12,0,180,5,89.28,246.65,37,0,1,2,0
4,12,0,280,5,271,0,35,2,1,2,0
5,12,0,280,5,271,0,35,2,1,2,0
6,12,0,280,4,228.94,-237.09,34,1,0,0,0
7,12,0,280,4,131.99,-432.86,34,0,0,1,0
8,12,0,410,4,9,0,32,0,0,2,0
9,12,0,410,4,9,0,32,1,1,2,0
10,12,0,410,4,9,0,32,1,2,2,0
11,12,0,410,4,9,0,32,1,1,2,0
12,12,0,410,4,9,0,32,2,2,2,0
13,12,0,410,4,9,0,32,2,3,2,0
14,12,0,410,4,9,0,32,2,2,2,0
15,12,0,410,4,9,0,32,2,1,2,0
16,12,0,410,4,9,0,32,2,0,2,0
17,12,0,410,4,9,0,32,2,2,1,0
18,12,0,410,4,9,0,32,2,1,2,0
19,12,0,410,4,9,0,32,1,0,2,0
20,12,0,410,4,9,0,32,1,1,2,0
21,12,0,410,4,9,0,32,1,1,2,0
22,12,0,410,4,9,0,32,1,2,2,0
23,12,0,410,4,9,0,32,1,1,2,0
24,12,0,410,4,9,0,32,2,1,0,0
