t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,16,0,0,5,140,0,40,0,0,0,0
1,16,0,50,5,210.42,245.71,39,0,0,2,0
2,16,0,150,5,271,0,37,0,1,2,0
3,16,0,200,5,113.93,-247.98,36,4,1,1,0
4,16,0,200,4,93.27,-247.99,36,4,1,0,0
5,16,0,200,4,9,0,36,0,0,2,0
6,16,0,200,4,128.88,247.84,36,1,0,2,0
7,16,0,410,4,271,0,34,1,1,2,0
8,16,0,410,4,271,0,34,5,2,2,0
9,16,0,410,3,271,0,33,4,1,0,0
10,16,0,410,3,126.33,-247.96,33,0,0,2,0
11,16,0,510,3,9,0,31,1,1,2,0
12,16,0,510,3,9,0,31,2,2,2,0
13,16,0,510,3,9,0,31,2,1,2,0
14,16,0,510,3,9,0,31,2,1,2,0
15,16,0,510,3,9,0,31,5,1,2,0
16,16,0,510,2,9,0,30,7,0,0,0
