t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,14,0,0,5,140,0,40,0,0,0,0
1,14,0,80,5,69.58,-245.71,39,0,0,2,0
2,14,0,210,5,9,0,37,0,1,2,0
3,14,0,210,5,128.88,247.84,37,3,1,2,0
4,14,0,260,5,271,0,36,5,2,2,0
5,14,0,260,5,271,0,36,2,2,2,0
6,14,0,310,5,101.53,-247.99,35,2,2,1,0
7,14,0,410,5,9,0,33,5,1,2,0
8,14,0,410,5,9,0,33,5,1,2,0
9,14,0,410,5,55.05,239.27,33,5,0,2,0
10,14,0,410,4,83.52,246.17,32,4,1,0,0
11,14,0,460,4,248.75,0,31,0,0,2,0
12,14,0,510,4,248.75,0,30,1,1,0,0
