t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,8,0,0,4,140,0,40,0,0,0,0
1,8,0,80,4,235.11,247.4,39,0,0,2,0
2,8,0,230,4,266.67,-121.02,36,0,0,2,0
3,8,0,280,4,27.13,-248,35,1,2,2,0
4,8,0,330,4,9,0,34,1,1,2,0
5,8,0,330,3,28.31,206.39,33,1,0,1,0
6,8,0,330,3,60.82,378.76,33,0,0,1,0
7,8,0,380,3,271,0,32,0,0,2,0
8,8,0,380,3,271,0,32,1,1,2,0
9,8,0,380,3,271,0,32,1,2,2,0
10,8,0,380,3,271,0,32,1,2,2,0
11,8,0,540,3,271,0,31,1,1,2,0
12,8,0,540,3,271,0,31,3,1,2,0
13,8,0,540,2,271,0,30,2,0,0,0
14,8,0,540,2,271,0,30,1,1,2,0
15,8,0,540,2,271,0,30,0,0,2,0
16,8,0,540,2,271,0,30,3,2,0,0
