t,stage,challenge,score,lives,player_x,player_vx,enemies,attackers,enemy_bullets,player_bullets,challenge_enemies
0,10,0,0,4,140,0,40,0,0,0,0
1,10,0,80,4,44.89,-247.4,39,0,0,2,0
2,10,0,180,4,43.2,230.96,37,0,1,2,0
3,10,0,230,4,271,0,36,2,1,2,0
4,10,0,280,4,271,0,35,2,2,2,0
5,10,0,280,4,200.58,-245.71,35,2,1,2,0
6,10,0,380,4,9,0,33,2,1,2,0
7,10,0,380,4,9,0,33,2,1,2,0
8,10,0,380,4,9,0,33,2,1,2,0
9,10,0,380,4,9,0,33,2,1,2,0
10,10,0,380,4,9,0,33,3,1,2,0
11,10,0,380,4,9,0,33,3,0,1,0
12,10,0,780,4,9,0,32,1,1,2,0
13,10,0,780,4,9,0,32,1,1,2,0
14,10,0,780,4,9,0,32,1,1,1,0
15,10,0,780,4,9,0,32,1,3,2,0
16,10,0,780,4,9,0,32,4,3,0,0
