frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,8,0.2889,0.7599,78,364.76,63,10,9,54
1,8.04,0.3177,0.7613,85.77,365.41,61,10,6,55
2,8.08,0.3177,0.7613,85.77,365.41,64,10,9,55
3,8.12,0.3237,0.7608,87.41,365.19,68,12,14,54
4,8.16,0.3189,0.76,86.1,364.8,67,14,12,55
5,8.2,0.3189,0.76,86.1,364.8,67,15,12,55
6,8.24,0.3189,0.76,86.1,364.8,64,11,9,55
7,8.28,0.3189,0.76,86.1,364.8,63,11,8,55
8,8.32,0.3189,0.76,86.1,364.8,62,11,7,55
9,8.36,0.3263,0.7602,88.11,364.89,60,11,5,55
10,8.4,0.3459,0.7616,93.39,365.55,59,9,6,53
11,8.44,0.3532,0.7614,95.36,365.49,60,9,7,53
12,8.48,0.3554,0.7607,95.95,365.14,62,10,7,55
13,8.52,0.3621,0.7602,97.76,364.9,61,10,7,54
14,8.56,0.371,0.7631,100.17,366.29,58,10,5,53
15,8.6,0.371,0.7631,100.17,366.29,59,10,6,53
16,8.64,0.3977,0.7619,107.39,365.72,61,10,8,53
17,8.68,0.3838,0.7611,103.64,365.33,59,9,6,53
18,8.72,0.3837,0.7614,103.59,365.47,59,9,9,50
19,8.76,0.3837,0.7614,103.59,365.47,53,9,5,48
20,8.8,0.3837,0.7614,103.59,365.47,56,9,6,50
21,8.84,0.3837,0.7614,103.59,365.47,56,9,8,48
22,8.88,0.3837,0.7614,103.59,365.47,56,10,8,48
23,8.92,0.3837,0.7614,103.59,365.47,56,10,9,47
24,8.96,0.3837,0.7614,103.59,365.47,58,10,11,47
25,9,0.3837,0.7614,103.59,365.47,56,10,8,48
26,9.04,0.3837,0.7614,103.59,365.47,53,10,5,48
27,9.08,0.3837,0.7614,103.59,365.47,56,10,7,49
28,9.12,0.3837,0.7614,103.59,365.47,58,10,8,50
29,9.16,0.4051,0.7619,109.39,365.72,57,10,6,51
30,9.2,0.4115,0.762,111.12,365.76,59,10,7,52
31,9.24,0.4072,0.762,109.94,365.76,61,10,9,52
32,9.28,0.4147,0.7601,111.97,364.86,59,10,7,52
33,9.32,0.4218,0.7601,113.9,364.83,58,10,6,52
34,9.36,0.4287,0.7614,115.75,365.45,59,10,7,52
35,9.4,0.4361,0.7614,117.75,365.45,60,11,8,52
36,9.44,0.4361,0.7614,117.75,365.45,56,11,4,52
37,9.48,0.4361,0.7614,117.75,365.45,58,11,6,52
38,9.52,0.4361,0.7614,117.75,365.45,56,11,4,52
39,9.56,0.4513,0.76,121.86,364.82,57,11,5,52
40,9.6,0.4588,0.76,123.86,364.82,58,12,6,52
41,9.64,0.4809,0.7611,129.83,365.33,56,12,5,51
42,9.68,0.4809,0.7611,129.83,365.33,58,12,6,52
43,9.72,0.4809,0.7611,129.83,365.33,57,12,5,52
44,9.76,0.4809,0.7611,129.83,365.33,60,14,8,52
45,9.8,0.4809,0.7611,129.83,365.33,60,15,8,52
46,9.84,0.4809,0.7611,129.83,365.33,59,14,7,52
47,9.88,0.4809,0.7611,129.83,365.33,60,15,9,51
48,9.92,0.4809,0.7611,129.83,365.33,56,12,5,51
49,9.96,0.4809,0.7611,129.83,365.33,58,14,7,51
50,10,0.4809,0.7611,129.83,365.33,57,13,7,50
51,10.04,0.4792,0.7602,129.39,364.91,59,13,8,51
52,10.08,0.4792,0.7602,129.39,364.91,57,12,6,51
53,10.12,0.4792,0.7602,129.39,364.91,63,15,12,51
54,10.16,0.4792,0.7602,129.39,364.91,62,12,10,52
55,10.2,0.4792,0.7602,129.39,364.91,61,11,11,50
56,10.24,0.4792,0.7602,129.39,364.91,58,10,8,50
57,10.28,0.4792,0.7602,129.39,364.91,58,10,8,50
58,10.32,0.4792,0.7602,129.39,364.91,57,10,8,49
59,10.36,0.4792,0.7602,129.39,364.91,58,10,8,50
60,10.4,0.4792,0.7602,129.39,364.91,57,10,7,50
61,10.44,0.4792,0.7602,129.39,364.91,55,10,5,50
62,10.48,0.4792,0.7602,129.39,364.91,56,10,6,50
63,10.52,0.4792,0.7602,129.39,364.91,57,10,7,50
64,10.56,0.4734,0.761,127.81,365.27,58,10,7,51
65,10.6,0.4429,0.7602,119.58,364.88,57,10,6,51
66,10.64,0.4393,0.76,118.62,364.81,58,11,7,51
67,10.68,0.4405,0.7608,118.94,365.17,58,11,6,52
68,10.72,0.4329,0.7602,116.89,364.89,55,10,3,52
69,10.76,0.4079,0.7618,110.13,365.65,56,10,6,50
70,10.8,0.4005,0.7615,108.13,365.53,59,11,9,50
71,10.84,0.3834,0.7621,103.53,365.79,57,10,6,51
72,10.88,0.3859,0.7622,104.21,365.85,60,10,9,51
73,10.92,0.3859,0.7622,104.21,365.85,58,10,7,51
74,10.96,0.3859,0.7622,104.21,365.85,56,10,6,50
75,11,0.3859,0.7622,104.21,365.85,59,11,8,51
76,11.04,0.4025,0.7628,108.68,366.14,57,11,7,50
