frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,40,0.6141,0.7601,165.8,364.83,26,10,4,22
1,40.04,0.6141,0.7601,165.8,364.83,27,10,5,22
2,40.08,0.6141,0.7601,165.8,364.83,26,10,4,22
3,40.12,0.6141,0.7601,165.8,364.83,25,10,3,22
4,40.16,0.6141,0.7601,165.8,364.83,25,10,3,22
5,40.2,0.6141,0.7601,165.8,364.83,27,10,5,22
6,40.24,0.6141,0.7601,165.8,364.83,25,10,3,22
7,40.28,0.6141,0.7601,165.8,364.83,27,10,5,22
8,40.32,0.6141,0.7601,165.8,364.83,27,9,5,22
9,40.36,0.6141,0.7601,165.8,364.83,25,9,3,22
10,40.4,0.6141,0.7601,165.8,364.83,26,9,4,22
11,40.44,0.6141,0.7601,165.8,364.83,26,9,4,22
12,40.48,0.6141,0.7601,165.8,364.83,25,9,3,22
13,40.52,0.6141,0.7601,165.8,364.83,25,9,3,22
14,40.56,0.6209,0.7609,167.66,365.24,26,9,4,22
15,40.6,0.6381,0.7607,172.29,365.15,26,9,4,22
16,40.64,0.6455,0.7607,174.29,365.15,27,9,5,22
17,40.68,0.6517,0.7602,175.96,364.88,26,9,4,22
18,40.72,0.6579,0.761,177.64,365.28,24,10,3,21
19,40.76,0.6877,0.7607,185.68,365.12,24,10,3,21
20,40.8,0.6877,0.7607,185.68,365.12,24,10,3,21
21,40.84,0.6726,0.76,181.62,364.81,24,10,3,21
22,40.88,0.6804,0.7601,183.7,364.87,25,10,4,21
23,40.92,0.6878,0.7601,185.7,364.87,25,10,4,21
24,40.96,0.7165,0.7602,193.46,364.88,27,10,6,21
25,41,0.7243,0.7602,195.56,364.88,27,10,6,21
26,41.04,0.7177,0.7602,193.77,364.91,25,10,4,21
27,41.08,0.7257,0.7601,195.95,364.86,26,10,5,21
28,41.12,0.7332,0.7601,197.95,364.86,26,10,5,21
29,41.16,0.7611,0.761,205.5,365.27,24,9,3,21
30,41.2,0.7601,0.7607,205.23,365.15,25,10,4,21
31,41.24,0.7633,0.76,206.1,364.8,23,9,3,20
32,41.28,0.7687,0.761,207.54,365.27,25,10,4,21
33,41.32,0.7687,0.761,207.54,365.27,25,10,4,21
34,41.36,0.7686,0.7618,207.53,365.69,24,10,4,20
35,41.4,0.7687,0.761,207.54,365.27,25,10,4,21
36,41.44,0.7687,0.7614,207.54,365.46,26,10,5,21
37,41.48,0.7707,0.76,208.1,364.8,26,10,4,22
38,41.52,0.2524,0.8054,68.14,386.57,26,10,4,22
39,41.56,0.2524,0.8054,68.14,386.57,24,9,3,21
40,41.6,0.2524,0.8054,68.14,386.57,25,10,4,21
41,41.64,0.2524,0.8054,68.14,386.57,24,10,3,21
42,41.68,0.2524,0.8054,68.14,386.57,25,10,4,21
43,41.72,0.2524,0.8054,68.14,386.57,24,10,3,21
44,41.76,0.2524,0.8054,68.14,386.57,24,10,3,21
45,41.8,0.2524,0.8054,68.14,386.57,24,10,3,21
46,41.84,0.2524,0.8054,68.14,386.57,24,10,3,21
47,41.88,0.2524,0.8054,68.14,386.57,24,10,3,21
48,41.92,0.2524,0.8054,68.14,386.57,24,10,3,21
49,41.96,0.2524,0.8054,68.14,386.57,25,10,4,21
50,42,0.2524,0.8054,68.14,386.57,25,10,4,21
51,42.04,0.2524,0.8054,68.14,386.57,25,9,4,21
52,42.08,0.2524,0.8054,68.14,386.57,24,9,3,21
53,42.12,0.2524,0.8054,68.14,386.57,24,9,3,21
54,42.16,0.2524,0.8054,68.14,386.57,25,9,4,21
55,42.2,0.2524,0.8054,68.14,386.57,23,9,2,21
56,42.24,0.2524,0.8054,68.14,386.57,23,9,2,21
57,42.28,0.2524,0.8054,68.14,386.57,24,9,2,22
58,42.32,0.2524,0.8054,68.14,386.57,27,9,5,22
59,42.36,0.2524,0.8054,68.14,386.57,27,10,6,21
60,42.4,0.2524,0.8054,68.14,386.57,28,10,7,21
61,42.44,0.2524,0.8054,68.14,386.57,24,10,4,20
62,42.48,0.2524,0.8054,68.14,386.57,23,10,3,20
63,42.52,0.2524,0.8054,68.14,386.57,23,10,3,20
64,42.56,0.2524,0.8054,68.14,386.57,24,10,4,20
65,42.6,0.2524,0.8054,68.14,386.57,23,10,3,20
66,42.64,0.2524,0.8054,68.14,386.57,24,11,3,21
67,42.68,0.7707,0.76,208.1,364.8,26,11,5,21
68,42.72,0.7633,0.76,206.1,364.8,24,11,3,21
69,42.76,0.7679,0.7611,207.33,365.33,23,10,3,20
70,42.8,0.7611,0.7612,205.5,365.36,23,9,3,20
71,42.84,0.7337,0.76,198.1,364.8,23,9,3,20
72,42.88,0.7337,0.76,198.1,364.8,23,9,3,20
73,42.92,0.7337,0.76,198.1,364.8,23,9,3,20
74,42.96,0.7337,0.76,198.1,364.8,23,9,3,20
75,43,0.7337,0.76,198.1,364.8,23,9,3,20
76,43.04,0.7337,0.76,198.1,364.8,23,9,3,20
77,43.08,0.7263,0.76,196.1,364.8,23,9,3,20
78,43.12,0.7183,0.7601,193.95,364.86,23,9,3,20
79,43.16,0.7242,0.7608,195.52,365.17,23,9,3,20
80,43.2,0.7167,0.7608,193.52,365.17,22,9,2,20
81,43.24,0.6884,0.76,185.86,364.82,22,9,2,20
82,43.28,0.6954,0.7611,187.75,365.33,22,9,2,20
83,43.32,0.688,0.7611,185.75,365.33,22,9,2,20
84,43.36,0.677,0.7601,182.8,364.85,22,9,2,20
85,43.4,0.6696,0.7601,180.8,364.85,22,9,2,20
86,43.44,0.6714,0.7612,181.28,365.36,22,9,2,20
87,43.48,0.6718,0.7613,181.38,365.43,22,9,2,20
88,43.52,0.694,0.7604,187.39,365,22,9,2,20
89,43.56,0.694,0.7604,187.39,365,22,9,2,20
90,43.6,0.694,0.7604,187.39,365,23,10,3,20
91,43.64,0.694,0.7604,187.39,365,23,10,3,20
92,43.68,0.694,0.7604,187.39,365,23,10,3,20
93,43.72,0.694,0.7604,187.39,365,23,10,3,20
94,43.76,0.694,0.7604,187.39,365,23,10,3,20
95,43.8,0.6945,0.7606,187.52,365.08,23,10,3,20
96,43.84,0.695,0.7609,187.65,365.23,23,10,3,20
97,43.88,0.694,0.7604,187.39,365,23,10,3,20
98,43.92,0.694,0.7604,187.39,365,23,10,3,20
99,43.96,0.694,0.7604,187.39,365,23,10,3,20
100,44,0.694,0.7604,187.39,365,23,10,3,20
101,44.04,0.694,0.7604,187.39,365,23,9,3,20
102,44.08,0.694,0.7604,187.39,365,23,9,3,20
103,44.12,0.6946,0.7604,187.54,365,25,9,5,20
104,44.16,0.6946,0.7604,187.54,365,25,9,5,20
105,44.2,0.6946,0.7604,187.54,365,25,9,5,20
