frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,20,0.3411,0.7602,92.11,364.89,50,12,7,43
1,20.04,0.3411,0.7602,92.11,364.89,50,12,7,43
2,20.08,0.3411,0.7602,92.11,364.89,50,12,7,43
3,20.12,0.3411,0.7602,92.11,364.89,49,12,6,43
4,20.16,0.3685,0.7616,99.5,365.56,49,11,7,42
5,20.2,0.3679,0.7604,99.32,364.98,48,11,6,42
6,20.24,0.3762,0.761,101.58,365.3,50,11,8,42
7,20.28,0.376,0.7621,101.53,365.79,50,11,8,42
8,20.32,0.3834,0.7621,103.53,365.79,47,10,6,41
9,20.36,0.4005,0.7619,108.13,365.72,48,11,6,42
10,20.4,0.4064,0.7608,109.73,365.19,49,11,7,42
11,20.44,0.4138,0.7608,111.73,365.19,49,11,7,42
12,20.48,0.4317,0.7603,116.55,364.92,49,11,7,42
13,20.52,0.4391,0.7603,118.55,364.92,47,10,5,42
14,20.56,0.4443,0.7602,119.96,364.88,48,10,6,42
15,20.6,0.4513,0.76,121.86,364.82,50,11,8,42
16,20.64,0.4806,0.7616,129.76,365.57,49,11,7,42
17,20.68,0.4876,0.7604,131.64,365,50,11,9,41
18,20.72,0.4866,0.7604,131.37,364.98,47,9,6,41
19,20.76,0.4893,0.76,132.1,364.8,48,9,7,41
20,20.8,0.4967,0.76,134.1,364.8,48,9,7,41
21,20.84,0.5168,0.7611,139.53,365.32,48,9,7,41
22,20.88,0.5242,0.7611,141.53,365.32,47,9,7,40
23,20.92,0.5315,0.7611,143.51,365.34,47,9,6,41
24,20.96,0.5337,0.7602,144.11,364.89,46,9,5,41
25,21,0.5411,0.7602,146.11,364.89,45,9,4,41
26,21.04,0.5541,0.761,149.62,365.29,46,10,5,41
27,21.08,0.5541,0.761,149.62,365.29,48,12,7,41
28,21.12,0.5541,0.761,149.62,365.29,49,11,7,42
29,21.16,0.5541,0.761,149.62,365.29,47,12,5,42
30,21.2,0.5541,0.761,149.62,365.29,47,11,5,42
31,21.24,0.5541,0.761,149.62,365.29,48,12,6,42
32,21.28,0.5673,0.7618,153.16,365.65,50,13,8,42
33,21.32,0.5634,0.7602,152.11,364.89,50,13,8,42
34,21.36,0.5708,0.7602,154.11,364.89,49,11,7,42
35,21.4,0.5848,0.7615,157.9,365.52,50,12,8,42
36,21.44,0.592,0.7613,159.84,365.42,50,12,8,42
37,21.48,0.6202,0.7616,167.44,365.56,49,11,7,42
38,21.52,0.6062,0.7616,163.67,365.56,48,10,7,41
39,21.56,0.6136,0.7616,165.67,365.56,47,11,5,42
40,21.6,0.6291,0.7599,169.86,364.76,48,11,6,42
41,21.64,0.6365,0.7599,171.86,364.76,52,12,10,42
42,21.68,0.6539,0.7608,176.56,365.18,50,10,8,42
43,21.72,0.6706,0.7617,181.06,365.63,51,11,9,42
44,21.76,0.6821,0.762,184.17,365.75,50,11,8,42
45,21.8,0.6739,0.7601,181.96,364.87,50,11,8,42
46,21.84,0.6813,0.7601,183.96,364.87,47,11,6,41
47,21.88,0.7108,0.7614,191.91,365.48,46,11,5,41
48,21.92,0.7177,0.7613,193.77,365.41,46,11,5,41
49,21.96,0.7177,0.7613,193.77,365.41,48,12,7,41
50,22,0.7177,0.7613,193.77,365.41,47,11,6,41
51,22.04,0.7177,0.7613,193.77,365.41,46,11,6,40
52,22.08,0.7177,0.7613,193.77,365.41,47,10,7,40
53,22.12,0.7177,0.7613,193.77,365.41,47,10,7,40
54,22.16,0.7177,0.7613,193.77,365.41,45,10,5,40
55,22.2,0.7177,0.7613,193.77,365.41,46,10,6,40
56,22.24,0.7177,0.7613,193.77,365.41,48,10,7,41
57,22.28,0.7177,0.7613,193.77,365.41,47,10,6,41
58,22.32,0.7177,0.7613,193.77,365.41,48,10,7,41
59,22.36,0.7091,0.7602,191.46,364.88,47,10,6,41
60,22.4,0.6879,0.7601,185.74,364.83,46,9,5,41
61,22.44,0.6879,0.7601,185.74,364.83,46,9,5,41
62,22.48,0.6879,0.7601,185.74,364.83,46,9,5,41
63,22.52,0.6879,0.7601,185.74,364.83,47,9,6,41
64,22.56,0.7031,0.7609,189.83,365.24,47,9,6,41
65,22.6,0.6959,0.7617,187.88,365.62,47,9,6,41
66,22.64,0.6652,0.7601,179.62,364.85,47,9,6,41
67,22.68,0.6652,0.7601,179.62,364.85,47,9,6,41
68,22.72,0.6652,0.7601,179.62,364.85,47,9,6,41
69,22.76,0.6656,0.76,179.7,364.78,51,9,10,41
70,22.8,0.6652,0.7601,179.62,364.85,47,9,6,41
71,22.84,0.6652,0.7601,179.62,364.85,48,10,7,41
72,22.88,0.6652,0.7601,179.62,364.85,50,10,9,41
73,22.92,0.6652,0.7601,179.62,364.85,49,10,8,41
74,22.96,0.6652,0.7601,179.62,364.85,45,10,4,41
75,23,0.6652,0.7601,179.62,364.85,49,10,8,41
76,23.04,0.6652,0.7601,179.62,364.85,49,10,7,42
