frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,0,0.3115,0.76,84.1,364.8,67,11,7,60
1,0.04,0.3115,0.76,84.1,364.8,67,11,7,60
2,0.08,0.3115,0.76,84.1,364.8,69,11,10,59
3,0.12,0.3115,0.76,84.1,364.8,64,11,6,58
4,0.16,0.3115,0.76,84.1,364.8,67,11,8,59
5,0.2,0.3115,0.76,84.1,364.8,70,11,11,59
6,0.24,0.3115,0.76,84.1,364.8,67,11,8,59
7,0.28,0.3115,0.76,84.1,364.8,67,11,8,59
8,0.32,0.3115,0.76,84.1,364.8,71,11,12,59
9,0.36,0.3115,0.76,84.1,364.8,69,11,10,59
10,0.4,0.3189,0.76,86.1,364.8,73,11,14,59
11,0.44,0.3322,0.7611,89.68,365.32,67,9,10,57
12,0.48,0.3322,0.7611,89.68,365.32,66,9,9,57
13,0.52,0.3322,0.7611,89.68,365.32,66,9,9,57
14,0.56,0.3322,0.7611,89.68,365.32,66,9,8,58
15,0.6,0.3322,0.7611,89.68,365.32,71,10,14,57
16,0.64,0.3322,0.7611,89.68,365.32,71,10,14,57
17,0.68,0.3322,0.7611,89.68,365.32,69,10,12,57
18,0.72,0.3263,0.76,88.1,364.8,68,11,10,58
19,0.76,0.3463,0.7603,93.5,364.96,67,10,10,57
20,0.8,0.3536,0.7603,95.48,364.94,67,10,10,57
21,0.84,0.3567,0.7629,96.3,366.2,63,10,6,57
22,0.88,0.3644,0.762,98.4,365.76,65,10,8,57
23,0.92,0.3715,0.7634,100.32,366.41,68,10,11,57
24,0.96,0.3855,0.7612,104.08,365.39,65,10,8,57
25,1,0.3919,0.7601,105.81,364.84,66,10,9,57
26,1.04,0.4085,0.7609,110.31,365.23,67,10,10,57
27,1.08,0.4255,0.7602,114.89,364.89,65,9,8,57
28,1.12,0.4243,0.7602,114.56,364.92,63,9,6,57
29,1.16,0.4291,0.7599,115.86,364.76,65,9,7,58
30,1.2,0.4362,0.76,117.79,364.82,66,10,8,58
31,1.24,0.465,0.7604,125.54,365,70,10,12,58
32,1.28,0.4736,0.7614,127.88,365.48,69,10,11,58
33,1.32,0.48,0.7615,129.6,365.5,65,10,9,56
34,1.36,0.4729,0.7601,127.7,364.87,65,10,9,56
35,1.4,0.4804,0.7601,129.7,364.87,63,10,7,56
36,1.44,0.5095,0.7602,137.56,364.88,63,10,7,56
37,1.48,0.5174,0.761,139.7,365.26,61,11,5,56
38,1.52,0.5115,0.76,138.1,364.8,63,11,7,56
39,1.56,0.5189,0.76,140.1,364.8,61,11,5,56
40,1.6,0.5441,0.7611,146.91,365.31,61,11,5,56
41,1.64,0.5458,0.7602,147.36,364.9,64,11,8,56
42,1.68,0.5485,0.76,148.1,364.8,61,11,5,56
43,1.72,0.5559,0.7602,150.11,364.89,63,12,6,57
44,1.76,0.5634,0.7602,152.11,364.89,64,12,7,57
45,1.8,0.5828,0.7607,157.36,365.13,62,10,7,55
46,1.84,0.5851,0.7605,157.97,365.06,62,11,7,55
47,1.88,0.5914,0.7609,159.69,365.25,64,13,8,56
48,1.92,0.5987,0.7614,161.65,365.47,66,13,9,57
49,1.96,0.6061,0.7614,163.65,365.47,66,13,9,57
50,2,0.6209,0.7604,167.63,365,64,13,7,57
51,2.04,0.6285,0.7606,169.7,365.1,62,12,5,57
52,2.08,0.6556,0.7613,177,365.41,64,13,6,58
53,2.12,0.6558,0.7617,177.06,365.63,64,13,6,58
54,2.16,0.6558,0.7617,177.06,365.63,62,13,4,58
55,2.2,0.6558,0.7617,177.06,365.63,63,13,5,58
56,2.24,0.6558,0.7617,177.06,365.63,63,14,5,58
57,2.28,0.6287,0.7603,169.74,364.94,65,13,8,57
58,2.32,0.6213,0.7603,167.74,364.94,66,13,9,57
59,2.36,0.606,0.7619,163.61,365.72,65,13,8,57
60,2.4,0.5987,0.7614,161.65,365.47,66,14,9,57
61,2.44,0.592,0.7614,159.85,365.47,64,13,7,57
62,2.48,0.59,0.7611,159.3,365.32,64,13,7,57
63,2.52,0.5828,0.7606,157.35,365.08,64,13,7,57
64,2.56,0.5634,0.7602,152.11,364.89,63,13,7,56
65,2.6,0.5559,0.7602,150.11,364.89,62,13,6,56
66,2.64,0.5582,0.7605,150.71,365.06,65,13,8,57
67,2.68,0.552,0.7598,149.03,364.71,65,13,8,57
68,2.72,0.5455,0.7607,147.3,365.15,65,13,8,57
69,2.76,0.5185,0.7599,140,364.76,64,13,7,57
70,2.8,0.5115,0.76,138.1,364.8,64,14,7,57
71,2.84,0.5168,0.7609,139.54,365.25,67,13,10,57
72,2.88,0.5103,0.7613,137.77,365.41,67,13,10,57
73,2.92,0.5029,0.7613,135.77,365.41,67,13,10,57
74,2.96,0.4729,0.7601,127.7,364.87,65,13,8,57
75,3,0.4655,0.7601,125.7,364.87,65,13,8,57
76,3.04,0.4577,0.7602,123.58,364.88,63,13,6,57
77,3.08,0.4581,0.7601,123.7,364.87,64,13,7,57
78,3.12,0.4655,0.7601,125.7,364.87,63,13,6,57
79,3.16,0.4948,0.761,133.59,365.27,61,13,4,57
80,3.2,0.6085,0.706,164.3,338.9,65,14,8,57
81,3.24,0.5022,0.761,135.59,365.27,65,14,8,57
82,3.28,0.59,0.7263,159.31,348.62,64,14,7,57
83,3.32,0.3722,0.7731,100.5,371.08,64,14,7,57
84,3.36,0.3644,0.781,98.39,374.87,62,14,5,57
85,3.4,0.5681,0.7509,153.38,360.42,64,14,7,57
86,3.44,0.5582,0.7576,150.73,363.64,64,14,7,57
87,3.48,0.548,0.7689,147.96,369.09,68,14,10,58
88,3.52,0.5453,0.7774,147.23,373.14,67,14,9,58
89,3.56,0.5362,0.7846,144.78,376.63,65,13,9,56
90,3.6,0.4378,0.7607,118.21,365.12,64,13,8,56
91,3.64,0.4291,0.7599,115.86,364.76,64,13,8,56
92,3.68,0.357,0.8049,96.39,386.35,66,13,10,56
93,3.72,0.4257,0.7605,114.95,365.05,66,13,11,55
94,3.76,0.4183,0.7605,112.95,365.05,64,12,7,57
95,3.8,0.3929,0.761,106.08,365.28,67,10,9,58
96,3.84,0.3855,0.7608,104.09,365.17,65,10,7,58
97,3.88,0.3904,0.7617,105.42,365.63,63,10,5,58
98,3.92,0.383,0.7617,103.42,365.63,67,11,8,59
99,3.96,0.3557,0.7605,96.05,365.05,68,11,9,59
100,4,0.3531,0.7606,95.33,365.1,69,11,11,58
101,4.04,0.3337,0.7602,90.11,364.89,66,11,8,58
102,4.08,0.3263,0.7602,88.11,364.89,68,12,9,59
103,4.12,0.3189,0.7602,86.11,364.89,66,12,7,59
104,4.16,0.324,0.76,87.48,364.8,66,11,8,58
105,4.2,0.3164,0.7602,85.42,364.88,64,11,6,58
106,4.24,0.2889,0.7599,78,364.76,66,12,7,59
107,4.28,0.2806,0.7602,75.77,364.91,67,11,9,58
108,4.32,0.2806,0.7602,75.77,364.91,66,11,8,58
109,4.36,0.2806,0.7602,75.77,364.91,65,11,7,58
110,4.4,0.2806,0.7602,75.77,364.91,64,10,6,58
111,4.44,0.2806,0.7602,75.77,364.91,65,10,7,58
112,4.48,0.2806,0.7602,75.77,364.91,65,10,7,58
113,4.52,0.2806,0.7602,75.77,364.91,63,10,5,58
114,4.56,0.2806,0.7602,75.77,364.91,63,10,6,57
115,4.6,0.2806,0.7602,75.77,364.91,62,10,5,57
116,4.64,0.2806,0.7602,75.77,364.91,65,10,7,58
117,4.68,0.2806,0.7602,75.77,364.91,66,10,8,58
118,4.72,0.2806,0.7602,75.77,364.91,65,10,7,58
119,4.76,0.2806,0.7602,75.77,364.91,63,9,6,57
120,4.8,0.2806,0.7602,75.77,364.91,62,9,6,56
121,4.84,0.2806,0.7602,75.77,364.91,64,10,8,56
122,4.88,0.2806,0.7602,75.77,364.91,63,10,7,56
123,4.92,0.2806,0.7602,75.77,364.91,63,10,6,57
124,4.96,0.2806,0.7602,75.77,364.91,63,10,6,57
125,5,0.2806,0.7602,75.77,364.91,65,10,8,57
126,5.04,0.2813,0.7601,75.95,364.86,65,10,9,56
127,5.08,0.2813,0.7601,75.95,364.86,65,10,8,57
128,5.12,0.2813,0.7601,75.95,364.86,65,10,8,57
129,5.16,0.3029,0.7613,81.77,365.41,68,10,10,58
130,5.2,0.2967,0.76,80.1,364.8,67,10,10,57
131,5.24,0.309,0.7611,83.44,365.33,67,10,10,57
132,5.28,0.3115,0.76,84.1,364.8,69,9,10,59
133,5.32,0.3189,0.76,86.1,364.8,69,10,9,60
134,5.36,0.3189,0.76,86.1,364.8,69,10,10,59
135,5.4,0.3189,0.76,86.1,364.8,68,10,9,59
136,5.44,0.3189,0.76,86.1,364.8,69,10,10,59
137,5.48,0.3189,0.76,86.1,364.8,69,10,10,59
138,5.52,0.3189,0.76,86.1,364.8,68,10,9,59
139,5.56,0.3189,0.76,86.1,364.8,69,10,9,60
140,5.6,0.3189,0.76,86.1,364.8,67,10,8,59
141,5.64,0.3263,0.76,88.1,364.8,69,10,9,60
142,5.68,0.3263,0.76,88.1,364.8,68,10,8,60
143,5.72,0.3263,0.76,88.1,364.8,67,11,8,59
144,5.76,0.3263,0.76,88.1,364.8,68,11,9,59
145,5.8,0.3263,0.76,88.1,364.8,69,11,9,60
146,5.84,0.3263,0.76,88.1,364.8,69,11,9,60
147,5.88,0.3263,0.76,88.1,364.8,69,11,9,60
148,5.92,0.3263,0.76,88.1,364.8,68,11,9,59
149,5.96,0.3263,0.76,88.1,364.8,68,11,9,59
150,6,0.3263,0.76,88.1,364.8,67,11,8,59
151,6.04,0.3263,0.76,88.1,364.8,69,11,10,59
152,6.08,0.3263,0.76,88.1,364.8,69,11,10,59
153,6.12,0.3263,0.76,88.1,364.8,67,11,8,59
154,6.16,0.3263,0.76,88.1,364.8,64,10,9,55
155,6.2,0.3263,0.76,88.1,364.8,63,10,8,55
156,6.24,0.3263,0.76,88.1,364.8,61,10,6,55
157,6.28,0.3263,0.76,88.1,364.8,62,10,7,55
158,6.32,0.3263,0.76,88.1,364.8,61,10,7,54
159,6.36,0.3263,0.76,88.1,364.8,63,11,8,55
160,6.4,0.3263,0.76,88.1,364.8,66,11,11,55
161,6.44,0.3263,0.76,88.1,364.8,69,11,14,55
162,6.48,0.3263,0.76,88.1,364.8,62,11,7,55
163,6.52,0.3263,0.76,88.1,364.8,62,11,7,55
164,6.56,0.3263,0.76,88.1,364.8,62,11,7,55
165,6.6,0.3263,0.76,88.1,364.8,65,11,10,55
166,6.64,0.3263,0.76,88.1,364.8,66,11,11,55
167,6.68,0.3263,0.76,88.1,364.8,62,11,7,55
168,6.72,0.3263,0.76,88.1,364.8,65,11,9,56
169,6.76,0.3263,0.76,88.1,364.8,63,11,7,56
170,6.8,0.3263,0.76,88.1,364.8,63,11,8,55
171,6.84,0.3263,0.76,88.1,364.8,65,10,8,57
172,6.88,0.3263,0.76,88.1,364.8,65,10,7,58
173,6.92,0.3263,0.76,88.1,364.8,65,10,8,57
174,6.96,0.3263,0.76,88.1,364.8,65,10,8,57
175,7,0.3189,0.76,86.1,364.8,65,10,8,57
176,7.04,0.3115,0.76,84.1,364.8,67,10,10,57
177,7.08,0.3159,0.7609,85.29,365.25,70,9,14,56
178,7.12,0.3094,0.7611,83.54,365.33,60,9,5,55
179,7.16,0.3024,0.7611,81.65,365.35,61,9,6,55
180,7.2,0.2736,0.76,73.86,364.82,64,9,9,55
181,7.24,0.2662,0.76,71.86,364.82,60,9,5,55
182,7.28,0.2728,0.7613,73.67,365.43,61,9,6,55
183,7.32,0.2654,0.7613,71.67,365.43,62,9,7,55
184,7.36,0.2365,0.76,63.86,364.82,62,9,7,55
185,7.4,0.2287,0.7601,61.74,364.83,62,9,7,55
186,7.44,0.2235,0.7598,60.33,364.72,63,9,8,55
187,7.48,0.2235,0.7598,60.33,364.72,64,9,9,55
188,7.52,0.2235,0.7598,60.33,364.72,61,9,6,55
189,7.56,0.2235,0.7598,60.33,364.72,65,9,10,55
190,7.6,0.2235,0.7598,60.33,364.72,65,10,10,55
191,7.64,0.2235,0.7598,60.33,364.72,63,10,8,55
192,7.68,0.2235,0.7598,60.33,364.72,64,11,9,55
193,7.72,0.2442,0.7609,65.93,365.22,64,12,9,55
194,7.76,0.2365,0.76,63.86,364.82,63,11,7,56
195,7.8,0.2439,0.76,65.86,364.82,65,12,9,56
196,7.84,0.2732,0.7613,73.77,365.41,64,11,9,55
197,7.88,0.2801,0.7606,75.63,365.08,63,11,8,55
198,7.92,0.288,0.7613,77.77,365.41,63,11,8,55
199,7.96,0.2815,0.7599,76,364.76,62,10,8,54
200,8,0.2889,0.7599,78,364.76,63,10,9,54
