frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,8,0.2889,0.7599,78,364.76,63,10,9,54
1,8.067,0.3177,0.7613,85.77,365.41,64,10,9,55
2,8.133,0.3189,0.76,86.1,364.8,67,14,12,55
3,8.2,0.3189,0.76,86.1,364.8,67,15,12,55
4,8.267,0.3189,0.76,86.1,364.8,63,11,8,55
5,8.333,0.3263,0.7602,88.11,364.89,60,11,5,55
6,8.4,0.3459,0.7616,93.39,365.55,59,9,6,53
7,8.467,0.3554,0.7607,95.95,365.14,62,10,7,55
8,8.533,0.371,0.7631,100.17,366.29,58,10,5,53
9,8.6,0.371,0.7631,100.17,366.29,59,10,6,53
10,8.667,0.3838,0.7611,103.64,365.33,59,9,6,53
11,8.733,0.3837,0.7614,103.59,365.47,53,9,5,48
12,8.8,0.3837,0.7614,103.59,365.47,56,9,6,50
13,8.867,0.3837,0.7614,103.59,365.47,56,10,8,48
14,8.933,0.3837,0.7614,103.59,365.47,58,10,11,47
15,9,0.3837,0.7614,103.59,365.47,56,10,8,48
16,9.067,0.3837,0.7614,103.59,365.47,56,10,7,49
17,9.133,0.4051,0.7619,109.39,365.72,57,10,6,51
18,9.2,0.4115,0.762,111.12,365.76,59,10,7,52
19,9.267,0.4147,0.7601,111.97,364.86,59,10,7,52
20,9.333,0.4287,0.7614,115.75,365.45,59,10,7,52
21,9.4,0.4361,0.7614,117.75,365.45,60,11,8,52
22,9.467,0.4361,0.7614,117.75,365.45,58,11,6,52
23,9.533,0.4513,0.76,121.86,364.82,57,11,5,52
24,9.6,0.4588,0.76,123.86,364.82,58,12,6,52
25,9.667,0.4809,0.7611,129.83,365.33,58,12,6,52
26,9.733,0.4809,0.7611,129.83,365.33,60,14,8,52
27,9.8,0.4809,0.7611,129.83,365.33,60,15,8,52
28,9.867,0.4809,0.7611,129.83,365.33,60,15,9,51
29,9.933,0.4809,0.7611,129.83,365.33,58,14,7,51
30,10,0.4809,0.7611,129.83,365.33,57,13,7,50
31,10.067,0.4792,0.7602,129.39,364.91,57,12,6,51
32,10.133,0.4792,0.7602,129.39,364.91,62,12,10,52
33,10.2,0.4792,0.7602,129.39,364.91,61,11,11,50
34,10.267,0.4792,0.7602,129.39,364.91,58,10,8,50
35,10.333,0.4792,0.7602,129.39,364.91,58,10,8,50
36,10.4,0.4792,0.7602,129.39,364.91,57,10,7,50
37,10.467,0.4792,0.7602,129.39,364.91,56,10,6,50
38,10.533,0.4734,0.761,127.81,365.27,58,10,7,51
39,10.6,0.4429,0.7602,119.58,364.88,57,10,6,51
40,10.667,0.4405,0.7608,118.94,365.17,58,11,6,52
41,10.733,0.4079,0.7618,110.13,365.65,56,10,6,50
42,10.8,0.4005,0.7615,108.13,365.53,59,11,9,50
43,10.867,0.3859,0.7622,104.21,365.85,60,10,9,51
44,10.933,0.3859,0.7622,104.21,365.85,56,10,6,50
45,11,0.3859,0.7622,104.21,365.85,59,11,8,51
46,11.067,0.4098,0.762,110.64,365.77,60,11,9,51
47,11.133,0.4156,0.7607,112.21,365.12,61,11,9,52
48,11.2,0.4234,0.7607,114.31,365.13,59,11,7,52
49,11.267,0.4552,0.76,122.9,364.8,61,13,9,52
50,11.333,0.4581,0.7601,123.7,364.87,60,12,8,52
51,11.4,0.4662,0.76,125.86,364.82,60,12,8,52
52,11.467,0.4878,0.7601,131.7,364.87,58,11,7,51
53,11.533,0.5026,0.7601,135.7,364.87,57,11,6,51
54,11.6,0.5296,0.7619,143,365.69,58,11,7,51
55,11.667,0.5337,0.76,144.1,364.8,61,13,9,52
56,11.733,0.5485,0.76,148.1,364.8,60,13,9,51
57,11.8,0.568,0.7604,153.36,365,59,12,9,50
58,11.867,0.5681,0.7599,153.39,364.76,59,12,9,50
59,11.933,0.5683,0.7605,153.43,365.02,61,14,11,50
60,12,0.5683,0.7605,153.43,365.02,60,16,10,50
61,12.067,0.578,0.7605,156.05,365.05,58,12,8,50
62,12.133,0.6128,0.7616,165.44,365.56,56,13,6,50
