frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
0,90,0.2275,0.8835,61.44,424.07,47,12,34,12,26,21
1,90.067,0.2275,0.8835,61.44,424.07,46,10,35,10,25,21
2,90.133,0.2275,0.8835,61.44,424.07,37,6,31,6,16,21
3,90.2,0.2454,0.8847,66.27,424.66,36,6,30,6,14,22
4,90.267,0.2644,0.8835,71.39,424.09,41,10,31,10,19,22
5,90.333,0.2802,0.884,75.65,424.33,39,9,27,9,17,22
6,90.4,0.3002,0.8843,81.05,424.48,41,12,28,12,19,22
7,90.467,0.3169,0.8838,85.57,424.23,37,11,26,11,16,21
8,90.533,0.3364,0.8842,90.82,424.43,38,12,25,12,17,21
9,90.6,0.3535,0.8837,95.44,424.16,34,9,24,9,12,22
10,90.667,0.3704,0.8843,100.02,424.47,37,7,29,7,15,22
11,90.733,0.3902,0.884,105.35,424.33,40,11,27,11,19,21
12,90.8,0.4057,0.8836,109.55,424.13,45,12,32,12,23,22
13,90.867,0.4254,0.8842,114.86,424.43,40,13,27,13,19,21
14,90.933,0.4426,0.8836,119.5,424.14,44,11,32,11,23,21
15,91,0.4594,0.8842,124.05,424.42,39,10,29,10,17,22
16,91.067,0.4792,0.8837,129.38,424.16,46,11,35,11,24,22
17,91.133,0.4947,0.8838,133.57,424.23,41,9,32,9,19,22
18,91.2,0.5146,0.884,138.93,424.33,37,7,28,7,15,22
19,91.267,0.5315,0.8836,143.5,424.14,39,10,27,10,17,22
20,91.333,0.5486,0.8839,148.13,424.27,38,11,26,11,16,22
21,91.4,0.5683,0.8836,153.45,424.13,36,12,24,12,15,21
22,91.467,0.5837,0.884,157.6,424.31,33,10,23,10,11,22
23,91.533,0.5903,0.8835,159.39,424.09,38,12,26,12,16,22
24,91.6,0.5903,0.8835,159.39,424.09,42,14,27,14,21,21
25,91.667,0.5903,0.8835,159.39,424.09,42,13,29,13,21,21
26,91.733,0.5757,0.8835,155.44,424.07,46,12,34,12,24,22
27,91.8,0.5591,0.8842,150.95,424.42,41,11,28,11,20,21
28,91.867,0.5394,0.8838,145.65,424.24,40,10,28,10,19,21
29,91.933,0.5236,0.8837,141.38,424.16,44,11,33,11,23,21
30,92,0.5093,0.8836,137.5,424.14,46,13,33,13,25,21
31,92.067,0.5236,0.8837,141.38,424.16,46,13,33,13,25,21
32,92.133,0.5393,0.8837,145.62,424.16,41,8,33,8,21,20
33,92.2,0.5591,0.8842,150.95,424.42,42,13,29,13,22,20
34,92.267,0.5762,0.8837,155.56,424.16,40,11,29,11,19,21
35,92.333,0.5933,0.8848,160.2,424.7,34,10,24,10,15,19
36,92.4,0.6128,0.8836,165.45,424.13,37,9,28,9,18,19
37,92.467,0.6283,0.884,169.65,424.33,38,6,31,6,18,20
38,92.533,0.6481,0.8843,174.98,424.47,41,10,30,10,21,20
39,92.6,0.6426,0.8836,173.5,424.14,41,9,31,9,24,17
40,92.667,0.6259,0.8843,168.98,424.47,34,6,27,6,15,19
41,92.733,0.6061,0.884,163.65,424.33,44,10,33,10,26,18
42,92.8,0.5931,0.8845,160.15,424.56,44,8,35,8,25,19
43,92.867,0.5931,0.8845,160.15,424.56,36,8,28,8,17,19
44,92.933,0.5931,0.8845,160.15,424.56,40,9,30,9,22,18
45,93,0.5931,0.8845,160.15,424.56,44,8,35,8,26,18
46,93.067,0.5931,0.8845,160.15,424.56,39,10,29,10,21,18
47,93.133,0.5931,0.8845,160.15,424.56,42,8,33,8,24,18
48,93.2,0.5931,0.8845,160.15,424.56,36,5,31,5,17,19
49,93.267,0.5931,0.8845,160.15,424.56,33,6,25,6,14,19
