frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
0,870,0.5261,0.8842,142.05,424.42,69,10,59,10,29,40
1,870.067,0.5261,0.8842,142.05,424.42,85,14,71,14,42,43
2,870.133,0.5315,0.8836,143.5,424.14,78,7,70,7,34,44
3,870.2,0.5489,0.884,148.19,424.31,86,8,77,8,43,43
4,870.267,0.5681,0.8835,153.39,424.09,67,9,58,9,28,39
5,870.333,0.5839,0.8838,157.65,424.24,69,10,59,10,29,40
6,870.4,0.5933,0.8848,160.2,424.7,71,10,61,10,31,40
7,870.467,0.5933,0.8848,160.2,424.7,73,11,62,11,31,42
8,870.533,0.6036,0.8843,162.98,424.47,69,13,56,13,29,40
9,870.6,0.6158,0.8848,166.27,424.71,67,11,55,11,25,42
10,870.667,0.6158,0.8848,166.27,424.71,79,9,69,9,36,43
11,870.733,0.6259,0.8843,168.98,424.47,73,8,63,8,32,41
12,870.8,0.6428,0.8837,173.56,424.16,66,11,54,11,25,41
13,870.867,0.6428,0.8837,173.56,424.16,78,11,67,11,36,42
14,870.933,0.6428,0.8837,173.56,424.16,79,12,67,12,37,42
15,871,0.6428,0.8837,173.56,424.16,71,13,58,13,30,41
16,871.067,0.6428,0.8837,173.56,424.16,71,13,57,13,36,35
17,871.133,0.6428,0.8837,173.56,424.16,59,11,47,11,24,35
18,871.2,0.6519,0.8843,176.02,424.47,65,11,54,11,30,35
19,871.267,0.6703,0.8843,180.98,424.47,69,9,60,9,34,35
20,871.333,0.6703,0.8843,180.98,424.47,75,13,60,13,40,35
21,871.4,0.6703,0.8843,180.98,424.47,66,12,54,12,32,34
22,871.467,0.6703,0.8843,180.98,424.47,62,14,48,14,27,35
23,871.533,0.6841,0.8846,184.69,424.61,62,12,50,12,27,35
24,871.6,0.7016,0.8837,189.44,424.16,61,10,51,10,26,35
25,871.667,0.7186,0.8843,194.02,424.47,60,12,48,12,24,36
26,871.733,0.7383,0.884,199.35,424.33,61,10,51,10,27,34
27,871.8,0.7541,0.8835,203.61,424.09,49,5,44,5,16,33
28,871.867,0.7604,0.8839,205.3,424.26,64,14,50,14,28,36
29,871.933,0.7605,0.8834,205.33,424.05,68,10,57,10,34,34
30,872,0.7604,0.8839,205.3,424.26,63,14,49,14,30,33
31,872.067,0.7604,0.8839,205.3,424.26,66,12,54,12,32,34
32,872.133,0.7604,0.8839,205.3,424.26,72,12,60,12,39,33
33,872.2,0.7604,0.8839,205.3,424.26,74,16,57,16,40,34
34,872.267,0.7604,0.8839,205.3,424.26,61,8,52,8,28,33
35,872.333,0.7604,0.8839,205.3,424.26,61,8,53,8,28,33
36,872.4,0.7604,0.8839,205.3,424.26,59,9,49,9,26,33
37,872.467,0.7604,0.8839,205.3,424.26,55,9,46,9,23,32
38,872.533,0.7764,0.8837,209.62,424.16,65,10,54,10,32,33
