frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
0,660,0.3615,0.8837,97.62,424.16,69,12,55,12,33,36
1,660.067,0.3615,0.8837,97.62,424.16,70,13,56,13,33,37
2,660.133,0.3615,0.8837,97.62,424.16,64,10,54,10,30,34
3,660.2,0.3615,0.8837,97.62,424.16,67,11,55,11,31,36
4,660.267,0.3615,0.8837,97.62,424.16,59,9,49,9,24,35
5,660.333,0.3615,0.8837,97.62,424.16,56,6,50,6,22,34
6,660.4,0.3615,0.8837,97.62,424.16,63,7,56,7,29,34
7,660.467,0.3759,0.8836,101.5,424.14,65,6,59,6,31,34
8,660.533,0.3927,0.8843,106.02,424.47,66,9,57,9,31,35
9,660.6,0.406,0.8835,109.61,424.09,71,10,60,10,34,37
10,660.667,0.406,0.8835,109.61,424.09,64,9,54,9,29,35
11,660.733,0.4252,0.8842,114.81,424.4,59,11,48,11,24,35
12,660.8,0.4426,0.8836,119.5,424.14,59,9,49,9,26,33
13,660.867,0.4648,0.8836,125.5,424.14,55,10,45,10,21,34
14,660.933,0.4818,0.8836,130.1,424.11,68,16,52,16,33,35
15,661,0.5013,0.8838,135.35,424.24,61,7,53,7,26,35
16,661.067,0.5169,0.8838,139.57,424.23,62,10,50,10,27,35
17,661.133,0.5042,0.8836,136.12,424.14,61,12,47,12,25,36
18,661.2,0.487,0.8836,131.5,424.14,65,9,55,9,30,35
19,661.267,0.4818,0.8843,130.08,424.48,72,15,57,15,36,36
20,661.333,0.4818,0.8843,130.08,424.48,77,13,63,13,41,36
21,661.4,0.4818,0.8843,130.08,424.48,57,12,45,12,23,34
22,661.467,0.4794,0.8838,129.43,424.23,68,14,52,14,33,35
23,661.533,0.4595,0.8845,124.06,424.56,64,11,51,11,29,35
24,661.6,0.4428,0.8835,119.56,424.07,68,13,53,13,33,35
25,661.667,0.4253,0.8844,114.82,424.49,65,14,47,14,31,34
26,661.733,0.406,0.8835,109.61,424.09,67,16,49,16,31,36
27,661.8,0.3902,0.884,105.35,424.33,65,21,42,21,30,35
28,661.867,0.3704,0.8843,100.02,424.47,62,17,44,17,25,37
29,661.933,0.3586,0.8842,96.82,424.43,57,17,40,17,23,34
30,662,0.3586,0.8842,96.82,424.43,63,18,45,18,28,35
31,662.067,0.3586,0.8842,96.82,424.43,61,12,49,12,27,34
32,662.133,0.3586,0.8842,96.82,424.43,64,12,51,12,28,36
33,662.2,0.3586,0.8842,96.82,424.43,62,16,46,16,30,32
34,662.267,0.3702,0.8843,99.95,424.48,68,12,56,12,29,39
35,662.333,0.3457,0.6081,93.34,291.87,65,14,51,14,26,39
36,662.4,0.406,0.8835,109.61,424.09,75,16,59,16,36,39
37,662.467,0.4065,0.628,109.76,301.46,76,19,57,18,38,38
38,662.533,0.448,0.8842,120.95,424.42,68,13,55,13,28,40
39,662.6,0.5945,0.6417,160.53,308.02,67,13,52,13,29,38
40,662.667,0.482,0.8844,130.13,424.51,58,13,45,13,19,39
41,662.733,0.4964,0.6912,134.04,331.75,62,9,52,9,23,39
42,662.8,0.5108,0.6914,137.9,331.87,59,9,49,9,21,38
43,662.867,0.4821,0.8838,130.17,424.2,54,9,44,9,21,33
44,662.933,0.5541,0.7416,149.6,355.97,53,12,40,12,19,34
45,663,0.5665,0.765,152.96,367.19,65,12,53,12,28,37
46,663.067,0.482,0.8844,130.13,424.51,59,11,48,11,24,35
47,663.133,0.482,0.8844,130.13,424.51,59,13,46,13,25,34
48,663.2,0.4824,0.884,130.25,424.31,54,12,42,12,23,31
