frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
0,180,0.4725,0.8838,127.57,424.23,87,10,77,10,33,54
1,180.067,0.4792,0.8837,129.38,424.16,93,13,79,13,39,54
2,180.133,0.4792,0.8837,129.38,424.16,89,11,77,11,33,56
3,180.2,0.4792,0.8837,129.38,424.16,99,12,87,12,42,57
4,180.267,0.4792,0.8837,129.38,424.16,90,7,83,7,36,54
5,180.333,0.4792,0.8837,129.38,424.16,85,6,78,6,30,55
6,180.4,0.4792,0.8837,129.38,424.16,88,10,78,10,33,55
7,180.467,0.4792,0.8837,129.38,424.16,91,7,84,7,36,55
8,180.533,0.4727,0.8837,127.62,424.16,82,10,71,10,29,53
9,180.6,0.4566,0.8841,123.28,424.34,85,11,74,11,32,53
10,180.667,0.4372,0.8842,118.05,424.42,94,7,87,7,38,56
11,180.733,0.4372,0.8842,118.05,424.42,96,10,84,10,44,52
12,180.8,0.4372,0.8842,118.05,424.42,104,12,91,12,50,54
13,180.867,0.4372,0.8842,118.05,424.42,90,8,82,8,36,54
14,180.933,0.4372,0.8842,118.05,424.42,100,12,88,12,45,55
15,181,0.4372,0.8842,118.05,424.42,97,7,90,7,44,53
16,181.067,0.4372,0.8842,118.05,424.42,89,7,80,7,36,53
17,181.133,0.4372,0.8842,118.05,424.42,98,14,83,14,43,55
18,181.2,0.4282,0.8835,115.61,424.09,91,6,84,6,37,54
19,181.267,0.412,0.8842,111.25,424.42,88,9,79,9,38,50
20,181.333,0.3927,0.8843,106.02,424.47,90,11,79,11,37,53
21,181.4,0.3902,0.884,105.35,424.33,74,6,68,6,21,53
22,181.467,0.3902,0.884,105.35,424.33,97,11,86,11,42,55
23,181.533,0.3902,0.884,105.35,424.33,95,7,88,7,42,53
24,181.6,0.3902,0.884,105.35,424.33,78,11,67,11,28,50
25,181.667,0.3902,0.884,105.35,424.33,88,13,75,13,38,50
26,181.733,0.3902,0.884,105.35,424.33,87,11,76,11,36,51
27,181.8,0.3902,0.884,105.35,424.33,88,10,78,10,36,52
28,181.867,0.3902,0.884,105.35,424.33,86,12,74,12,35,51
29,181.933,0.3902,0.884,105.35,424.33,90,4,83,4,39,51
30,182,0.3902,0.884,105.35,424.33,92,9,82,9,41,51
31,182.067,0.3927,0.8843,106.02,424.47,91,7,84,7,40,51
32,182.133,0.4126,0.884,111.4,424.31,93,10,82,10,43,50
33,182.2,0.4282,0.8835,115.61,424.09,97,13,83,13,47,50
