frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
0,48,0.6598,0.7949,178.14,381.57,79,48,12,67
1,48.067,0.6598,0.7949,178.14,381.57,83,49,16,67
2,48.133,0.6603,0.7953,178.28,381.74,83,47,16,67
3,48.2,0.3415,0.7939,92.2,381.09,76,41,16,60
4,48.267,0.3415,0.7939,92.2,381.09,79,43,19,60
5,48.333,0.3415,0.7939,92.2,381.09,75,41,16,59
6,48.4,0.3415,0.7939,92.2,381.09,73,41,14,59
7,48.467,0.3415,0.7939,92.2,381.09,74,42,15,59
8,48.533,0.3415,0.7939,92.2,381.09,71,42,12,59
9,48.6,0.3415,0.7939,92.2,381.09,75,40,15,60
10,48.667,0.3415,0.7939,92.2,381.09,80,41,20,60
11,48.733,0.6598,0.7949,178.14,381.57,79,45,12,67
12,48.8,0.6598,0.7949,178.14,381.57,83,47,16,67
13,48.867,0.6598,0.7949,178.14,381.57,82,45,15,67
14,48.933,0.6598,0.7949,178.14,381.57,83,49,16,67
15,49,0.6598,0.7949,178.14,381.57,83,49,16,67
16,49.067,0.6598,0.7949,178.14,381.57,82,50,15,67
17,49.133,0.6598,0.7949,178.14,381.57,77,46,17,60
18,49.2,0.6598,0.7949,178.14,381.57,63,33,19,44
19,49.267,0.3415,0.7939,92.2,381.09,38,16,10,28
20,49.333,,,,,18,7,15,3
21,49.4,0.6242,0.7623,168.54,365.91,40,29,9,31
22,49.467,0.6242,0.7623,168.54,365.91,47,38,11,36
23,49.533,0.6242,0.7623,168.54,365.91,48,39,12,36
24,49.6,0.6242,0.7623,168.54,365.91,45,36,9,36
25,49.667,0.6242,0.7623,168.54,365.91,51,39,15,36
26,49.733,0.6242,0.7623,168.54,365.91,52,38,16,36
27,49.8,0.6242,0.7623,168.54,365.91,46,37,10,36
28,49.867,0.6242,0.7623,168.54,365.91,48,41,12,36
29,49.933,0.6242,0.7623,168.54,365.91,46,37,10,36
30,50,0.6244,0.7623,168.58,365.92,52,41,16,36
31,50.067,0.6244,0.7623,168.58,365.92,48,38,12,36
32,50.133,0.6244,0.7623,168.58,365.92,49,38,13,36
33,50.2,0.6244,0.7623,168.58,365.92,52,40,16,36
34,50.267,0.6244,0.7623,168.58,365.92,55,42,19,36
35,50.333,0.6244,0.7623,168.58,365.92,46,39,11,35
36,50.4,0.6244,0.7623,168.58,365.92,53,41,17,36
37,50.467,0.6244,0.7623,168.58,365.92,46,38,10,36
38,50.533,0.6244,0.7623,168.58,365.92,48,39,12,36
39,50.6,0.6244,0.7623,168.58,365.92,45,38,9,36
40,50.667,0.6244,0.7623,168.58,365.92,52,43,16,36
41,50.733,0.6244,0.7623,168.58,365.92,49,41,13,36
